Accession,Organism_Name,GenBank_RefSeq,Assembly,Submitters,Organization,Org_location,Release_Date,Isolate,Species,Length,Nuc_Completeness,Geo_Location,USA,Host,Tissue_Specimen_Source,Collection_Date
NC_048848,Butyrivibrio phage Arawn,RefSeq,GCF_009932015.1,"Friedersdorff,J.C.A., Kingston-Smith,A.H., Pachebat,J.A., Rooke,D., Creevey,C.J.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Arawnvirus arawn,31118,complete,,,Butyrivibrio fibrisolvens DSM 3071,,
NC_048858,Bifidobacterium phage BadAztec1,RefSeq,GCF_011064355.1,"Bonilla-Rosso,G., Steiner,T., Wichmann,F., Bexkens,E., Engel,P.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Badaztecvirus badaztec1,18635,complete,Switzerland,,Bifidobacterium asteroides,insect gut,10/1/17
NC_048859,Bifidobacterium phage BadAargau2,RefSeq,GCF_011064345.1,"Bonilla-Rosso,G., Steiner,T., Wichmann,F., Bexkens,E., Engel,P.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Badaztecvirus badaargau2,18899,complete,Switzerland,,Bifidobacterium asteroides,insect gut,10/1/17
NC_048862,Salmonella phage astrithr,RefSeq,GCF_011756725.1,"Olsen,N.S., Forero-Junco,L., Kot,W., Hansen,L.H.","National Center for Biotechnology Information, NIH",USA,6/19/20,,Astrithrvirus astrithr,11569,complete,,,Salmonella enterica,,2017
NC_047763,Streptococcus phage 9873,RefSeq,GCF_002609485.1,"McDonnell,B., Mahony,J., Neve,H., Hanemaaijer,L., Noben,J.P., Kouwen,T., van Sinderen,D., Noben,J.-P.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Streptococcus phage 9873,32813,complete,Netherlands,,Streptococcus thermophilus,,5/1/08
NC_047775,Salinivibrio phage SMHB1,RefSeq,GCF_002612385.1,"Olonade,I.T., van Zyl,L.J., Trindade,M.I.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Playavirus SMHB1,32826,complete,Namibia,,Salinivibrio sp.,,
NC_047788,Staphylococcus phage SCH1,RefSeq,GCF_002615465.1,"Aleshkin,A.V., Volozhantsev,N.V., Verevkin,V.V., Krasilnikova,V.M., Myakinina,V.P., Popova,A.V., Svetoch,E.A.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Rosenblumvirus SCH1,18023,complete,,,Staphylococcus aureus,,
NC_047813,Staphylococcus phage Andhra,RefSeq,GCF_002619185.1,"Cater,K., Sree Dandu,V., Bari,S.M.N., Lackey,K., Everett,G.F.K., Hatoum-Aslan,A.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Andhravirus andhra,18546,complete,USA,,Staphylococcus epidermidis RP62A,,1/22/15
NC_047814,Staphylococcus phage St 134,RefSeq,GCF_002619325.1,"Kozlova,Y., Morozova,V., Tikunov,A., Bokovaya,O., Tikunova,N.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Andhravirus St134,18275,complete,Russia,,Staphylococcus epidermidis,,3/3/15
NC_047818,Klebsiella phage 4LV2017,RefSeq,GCF_002619645.1,"Villa,L., Feudi,C., Fortini,D., Brisse,S., Passet,V., Bonura,C., Endimiani,A., Mammina,C., Ocampo,A.M., Jimenez,J.N., Doumith,M., Woodford,N., Hopkins,K., Carattoli,A.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Elveevirus 4LV2017,33540,complete,,,Klebsiella pneumoniae,,
NC_047833,Erwinia phage EtG,RefSeq,GCF_002625345.1,"Andrade-Dominguez,A., Kolter,R., Shapiro,L.R.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Eganvirus EtG,30413,complete,USA,,Erwinia tracheiphila,,
NC_047854,Cronobacter phage ESSI-2,RefSeq,GCF_002630925.1,"Lee,Y.D., Chang,H.I., Park,J.H., Lee,Y.-D., Park,J.-H.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Seongnamvirus ESSI2,28765,complete,,,Cronobacter sakazakii,,
NC_047855,Staphylococcus phage PSa3,RefSeq,GCF_002633585.1,"Kraushaar,B., Dinh Thanh,M., Reetz,J., Fetsch,A., Hammerl,J.A., Hertwig,S., Hammerl,J.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Rosenblumvirus PSa3,17602,complete,,,Staphylococcus aureus,,
NC_047919,Staphylococcus phage vB_SauP_phiAGO1.3,RefSeq,GCF_002958295.1,"Gozdek,A., Glowacka-Rutkowska,A., Gawor,J., Empel,J., Gromadka,R., Lobocka,M.B.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Rosenblumvirus AGO13,17603,complete,,,Staphylococcus aureus,,
NC_048022,Eggerthella phage PMBT5,RefSeq,GCF_003367055.1,"Koberg,S., Brinks,E.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Lentavirus PMBT5,30930,complete,Germany,,Eggerthella lenta,,2018
NC_048030,uncultured phage MedDCM-OCT-S08-C159,RefSeq,GCF_003440355.1,"Ghai,R., Martin-Cuadrado,A.B., Molto,A.G., Heredia,I.G., Cabrera,R., Martin,J., Verdu,M., Deschamps,P., Moreira,D., Lopez-Garcia,P., Mira,A., Rodriguez-Valera,F., Martin-Cuadrado,A.-B.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Jalkavirus S08C159,10313,complete,Spain,,,,10/15/07
NC_048031,uncultured phage MedDCM-OCT-S04-C24,RefSeq,GCF_003440755.1,"Ghai,R., Martin-Cuadrado,A.B., Molto,A.G., Heredia,I.G., Cabrera,R., Martin,J., Verdu,M., Deschamps,P., Moreira,D., Lopez-Garcia,P., Mira,A., Rodriguez-Valera,F., Martin-Cuadrado,A.-B.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Pekhitvirus S04C24,20430,complete,Spain,,,,10/15/07
NC_048032,uncultured phage MedDCM-OCT-S05-C243,RefSeq,GCF_003440975.1,"Ghai,R., Martin-Cuadrado,A.B., Molto,A.G., Heredia,I.G., Cabrera,R., Martin,J., Verdu,M., Deschamps,P., Moreira,D., Lopez-Garcia,P., Mira,A., Rodriguez-Valera,F., Martin-Cuadrado,A.-B.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Podivirus S05C243,14123,complete,Spain,,,,10/15/07
NC_048033,uncultured phage MedDCM-OCT-S05-C849,RefSeq,GCF_003441035.1,"Ghai,R., Martin-Cuadrado,A.B., Molto,A.G., Heredia,I.G., Cabrera,R., Martin,J., Verdu,M., Deschamps,P., Moreira,D., Lopez-Garcia,P., Mira,A., Rodriguez-Valera,F., Martin-Cuadrado,A.-B.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Pagavirus S05C849,14714,complete,Spain,,,,10/15/07
NC_048034,uncultured phage MedDCM-OCT-S08-C41,RefSeq,GCF_003441135.1,"Ghai,R., Martin-Cuadrado,A.B., Molto,A.G., Heredia,I.G., Cabrera,R., Martin,J., Verdu,M., Deschamps,P., Moreira,D., Lopez-Garcia,P., Mira,A., Rodriguez-Valera,F., Martin-Cuadrado,A.-B.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Powvirus S08C41,28224,complete,Spain,,,,10/15/07
NC_048050,uncultured phage_Deep1-GF2-KM23-C739,RefSeq,GCF_003505395.1,"Mizuno,C.M., Ghai,R., Saghai,A., Lopez-Garcia,P., Rodriguez-Valera,F.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Chosvirus KM23C739,33961,complete,,,,,2004-11
NC_048051,uncultured phage_Deep-GF0-KM16-C193,RefSeq,GCF_003505615.1,"Mizuno,C.M., Ghai,R., Saghai,A., Lopez-Garcia,P., Rodriguez-Valera,F.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Stupnyavirus KM16C193,24480,complete,,,,,2004-11
NC_048066,Vibrio phage 1.202.O._10N.222.45.E8,RefSeq,GCF_003597575.1,"Kauffman,K.M., Hussain,F.A., Yang,J., Arevalo,P., Brown,J.M., Chang,W.K., VanInsberghe,D., Elsherbini,J., Cutler,M.B., Kelly,L., Polz,M.F.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Canoevirus canoe,32014,complete,"USA: Massachusetts, Nahant, Canoe Cove",MA,Vibrio cyclitrophicus,,8/10/10
NC_048107,Staphylococcus phage Pabna,RefSeq,GCF_003864175.1,"Bari,S.M.N., Hernandez,A.C., Hatoum-Aslan,A.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Rosenblumvirus pabna,17700,complete,USA,,Staphylococcus aureus subsp. aureus RN4220,,8/25/15
NC_048133,Aeromonas phage ZPAH7,RefSeq,GCF_003991665.1,"Islam,M.S., Li,J., Zhou,Y.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Aerosvirus ZPAH7,30791,complete,,,Aeromonas hydrophila,,
NC_048159,Staphylococcus phage CSA13,RefSeq,GCF_004284875.1,"Cha,Y., Chun,J., Son,B., Ryu,S.","National Center for Biotechnology Information, NIH",USA,5/15/20,,Rosenblumvirus CSA13,17034,complete,South Korea,,Staphylococcus aureus,,7/30/17
NC_042564,Escherichia phage Bf23,RefSeq,GCF_006298325.1,"Ksenzenko,V.N., Krutilina,A.I., Trachtmann,N.V., Vakhrusheva,O.E., Shlyapnikov,M.G.","National Center for Biotechnology Information, NIH",USA,6/12/19,,Tequintavirus BF23,14504,complete,,,Escherichia coli,,
NC_041835,Bacillus phage SPG24,RefSeq,GCF_001736955.2,"Lee,O.H., Kim,D.W.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Nitunavirus SPG24,516,complete,"South Korea:Jeonnam, Muan",,Bacillus subtilis,,
NC_041836,Bacillus phage SPG24,RefSeq,GCF_001736955.2,"Lee,O.H., Kim,D.W.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Nitunavirus SPG24,490,complete,"South Korea:Jeonnam, Muan",,Bacillus subtilis,,
NC_041837,Bacillus phage SPG24,RefSeq,GCF_001736955.2,"Lee,O.H., Kim,D.W.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Nitunavirus SPG24,264,complete,"South Korea:Jeonnam, Muan",,Bacillus subtilis,,
NC_041838,Bacillus phage SPG24,RefSeq,GCF_001736955.2,"Lee,O.H., Kim,D.W.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Nitunavirus SPG24,243,complete,"South Korea:Jeonnam, Muan",,Bacillus subtilis,,
NC_041839,Bacillus phage SPG24,RefSeq,GCF_001736955.2,"Lee,O.H., Kim,D.W.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Nitunavirus SPG24,243,complete,"South Korea:Jeonnam, Muan",,Bacillus subtilis,,
NC_041840,Bacillus phage SPG24,RefSeq,GCF_001736955.2,"Lee,O.H., Kim,D.W.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Nitunavirus SPG24,237,complete,"South Korea:Jeonnam, Muan",,Bacillus subtilis,,
NC_041841,Bacillus phage SPG24,RefSeq,GCF_001736955.2,"Lee,O.H., Kim,D.W.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Nitunavirus SPG24,211,complete,"South Korea:Jeonnam, Muan",,Bacillus subtilis,,
NC_041842,Bacillus phage SPG24,RefSeq,GCF_001736955.2,"Lee,O.H., Kim,D.W.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Nitunavirus SPG24,203,complete,"South Korea:Jeonnam, Muan",,Bacillus subtilis,,
NC_041848,Escherichia phage P2,RefSeq,GCF_002601305.1,"Svab,D., Horvath,B., Maroti,G., Dobrindt,U., Toth,I.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Peduovirus magyaro,31200,complete,,,Escherichia coli O157:H43 str. T22,,
NC_041954,Propionibacterium phage Keiki,RefSeq,GCF_002623025.1,"Aganon,J., Ashokkumar,S., Chiou,J., Rosario,K.D., Capati,S., Reddi,K., Villella,W., Bowman,C., Mould,D., Moberg-Parker,J., Hatfull,G.F., Sanders,E.R.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Pahexavirus keiki,29339,complete,"USA: Los Angeles, CA",CA,Cutibacterium acnes,skin,10/11/13
NC_041955,Propionibacterium phage PHL082M03,RefSeq,GCF_002623085.1,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.","National Center for Biotechnology Information, NIH",USA,5/2/19,PHL082M03,Pahexavirus PHL082M03,29491,complete,,,Cutibacterium acnes,,
NC_041956,Propionibacterium phage PHL117M01,RefSeq,GCF_002623125.1,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.","National Center for Biotechnology Information, NIH",USA,5/2/19,PHL117M01,Pahexavirus PHL117M01,29422,complete,,,Cutibacterium acnes,,
NC_041957,Propionibacterium phage PHL151N00,RefSeq,GCF_002623165.1,"Liu,J., Yan,R., Zhong,Q., Ngo,S., Bangayan,N.J., Nguyen,L., Lui,T., Liu,M., Erfe,M.C., Craft,N., Tomida,S., Li,H., Bangayan,N.","National Center for Biotechnology Information, NIH",USA,5/2/19,PHL151N00,Pahexavirus PHL151N00,29511,complete,,,Cutibacterium acnes,,
NC_042024,Lactococcus virus P2,RefSeq,GCF_002629865.1,"Scaltriti,E., Tegoni,M., Rivetti,C., Launay,H., Masson,J.Y., Magadan,A.H., Tremblay,D., Moineau,S., Ramoni,R., Lichiere,J., Campanacci,V., Cambillau,C., Ortiz-Lombardia,M., Haaber,J., Rousseau,G.M., Hammer,K., Tremblay,D.M., Spinelli,S., Blangy,S., Huyghe,C., Desmyter,A., Labrie,S., Bouchard,J.D., Deveau,H., Drolet,G., Ledeboer,A.M., de Haard,H.J.W.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Lactococcus virus P2,27595,complete,,,Lactococcus cremoris subsp. cremoris MG1363,,
NC_042114,Streptococcus phage CP-7,RefSeq,GCF_002988105.1,"Diez-Martinez,R., Garcia,E.","National Center for Biotechnology Information, NIH",USA,5/2/19,,Cepunavirus Cp7,19741,complete,Spain,,Streptococcus pneumoniae,oronasopharynx,
NC_031907,Streptococcus phage phiARI0746,RefSeq,GCF_001884655.1,"Croucher,N.J., Mostowy,R., Wymant,C., Turner,P., Bentley,S.D., Fraser,C.","National Center for Biotechnology Information, NIH",USA,11/15/16,,Streptococcus phage phiARI0746,33181,complete,,,Streptococcus pneumoniae,,
NC_031002,Lactococcus phage M6162,RefSeq,GCF_001744695.1,"Millen,A.M., Romero,D.A., Tremblay,D., Labrie,S., Fengler,K.A., Roos,P.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Lactococcus phage M6162,21697,complete,USA,,Lactococcus lactis,,2012
NC_031003,Propionibacterium phage Moyashi,RefSeq,GCF_001743815.1,"Silva,E., Huang,K., Khatt,A., Kompella,H., Trans,E., Capati,S., Reddi,K., Bowman,C., Mould,D., Hatfull,G.F., Moberg-Parker,J.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Propionibacterium phage Moyashi,29254,complete,"USA: Los Angeles, CA",CA,Cutibacterium acnes,skin,4/14/14
NC_031005,Propionibacterium phage QueenBey,RefSeq,GCF_001745135.2,"Silva,E., Flores,E., Khan,A., Pizarro,M., Capati,S., Reddi,K., Bowman,C., Mould,D., Hatfull,G.F., Moberg-Parker,J.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Propionibacterium phage QueenBey,29338,complete,"USA: Los Angeles, CA",CA,Cutibacterium acnes,skin,4/2/14
NC_031008,Staphylococcus phage SLPW,RefSeq,GCF_001746055.1,"Wang,Z., Zheng,P.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Rosenblumvirus SLPW,17861,complete,China,,Staphylococcus aureus,,2013-10
NC_031009,Lactococcus phage D4412,RefSeq,GCF_001745355.1,"Millen,A.M., Romero,D.A., Tremblay,D., Labrie,S., Fengler,K.A., Roos,P.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Ceduovirus D4412,22884,complete,France,,Lactococcus lactis,,2003
NC_031015,Bacillus phage Claudi,RefSeq,GCF_001744995.2,"Carter,D., Cochran,E., Johnson,A.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Claudivirus claudi,26502,complete,"USA: Richmond, VA",VA,Bacillus thuringiensis serovar kurstaki,,8/25/14
NC_031017,Lactococcus phage 63301,RefSeq,GCF_001745855.1,"Oliveira,J., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Lactococcus phage 63301,32409,complete,,,Lactococcus lactis,,
NC_031023,Streptococcus phage 9874,RefSeq,GCF_001743715.1,"McDonnell,B., Mahony,J., Neve,H., Hanemaaijer,L., Noben,J.P., Kouwen,T., van Sinderen,D., Noben,J.-P.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Piorkowskivirus pv9874,32649,complete,Netherlands,,Streptococcus thermophilus,,5/1/08
NC_031032,Bacillus phage Stitch,RefSeq,GCF_001745655.1,"Brouilette,A.K., Todd,E.A., Brooke,A., Cochran,E., Alali,E.A., Alhouri,R.A., Bannister,J.W., Churchin,D.C., Colclough,C.L., Gibbs,D.R., Graca,A.E., Helton,M.C., Hoerster,J.O., Irvin,A.N., Johnson,S., Kasprzak,M.L., Marchese,A.R., Minahan,N.T., Sauder,A.B., Straub,J.C., Torres,C.T., Scott,C.M., Temple,L.M.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Claudivirus stitch,24320,complete,"USA: Harrisonburg, VA",VA,Bacillus,,8/20/12
NC_031040,Lactococcus phage 50101,RefSeq,GCF_001745195.1,"Oliveira,J., van Sinderen,D.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Lactococcus phage 50101,31987,complete,,,Lactococcus lactis,,
NC_031044,Lactococcus phage M6165,RefSeq,GCF_001744015.1,"Millen,A.M., Romero,D.A., Tremblay,D., Labrie,S., Fengler,K.A., Roos,P.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Lactococcus phage M6165,22179,complete,USA,,Lactococcus lactis,,2012
NC_031046,Staphylococcus phage BP39,RefSeq,GCF_001745035.1,"Mandeville,R.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Rosenblumvirus BP39,17641,complete,Canada,,Staphylococcus aureus,,2002
NC_031069,Streptococcus phage 9871,RefSeq,GCF_001745715.1,"McDonnell,B., Mahony,J., Neve,H., Hanemaaijer,L., Noben,J.P., Kouwen,T., van Sinderen,D., Noben,J.-P.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Piorkowskivirus pv9871,32729,complete,Netherlands,,Streptococcus thermophilus,,5/1/08
NC_031071,Lactococcus phage D4410,RefSeq,GCF_001744035.1,"Millen,A.M., Romero,D.A., Tremblay,D., Labrie,S., Fengler,K.A., Roos,P.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Ceduovirus D4410,22825,complete,France,,Lactococcus lactis,,2003
NC_031075,Lactococcus phage M5938,RefSeq,GCF_001746015.1,"Millen,A.M., Romero,D.A., Tremblay,D., Labrie,S., Fengler,K.A., Roos,P.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Ceduovirus M5938,22240,complete,USA,,Lactococcus lactis,,2010
NC_031084,Propionibacterium phage BruceLethal,RefSeq,GCF_001745815.1,"Mould,D., Espinosa,J., Nguyen,B., Perez,S., Ramirez,M., Capati,S., Reddi,K., Bowman,C., Hatfull,G.F., Moberg-Parker,J.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Propionibacterium phage BruceLethal,29249,complete,"USA: Los Angeles, CA",CA,Cutibacterium acnes,skin,4/11/14
NC_031094,Streptococcus phage 9872,RefSeq,GCF_001744395.1,"McDonnell,B., Mahony,J., Neve,H., Hanemaaijer,L., Noben,J.P., Kouwen,T., van Sinderen,D., Noben,J.-P.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Piorkowskivirus pv9872,33105,complete,Netherlands,,Streptococcus thermophilus,,5/1/08
NC_031101,Weissella phage WCP30,RefSeq,GCF_001746035.1,"Lee,Y.-D., Park,J.-H.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Weissella phage WCP30,33697,complete,South Korea,,Weissella sp.,,7/3/14
NC_031119,Propionibacterium phage Enoki,RefSeq,GCF_001744495.1,"Mould,D., Bucko,H., Mayorga,A., Phan,B., Capati,S., Reddi,K., Bowman,C., Hatfull,G.F., Moberg-Parker,J.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Propionibacterium phage Enoki,29347,complete,"USA: Los Angeles, CA",CA,Cutibacterium acnes,skin,4/4/14
NC_031121,Bacillus phage Aurora,RefSeq,GCF_001743675.2,"Brouilette,A.K., Todd,E.A., Brooke,A., Cochran,E., Alali,E.A., Alhouri,R.A., Bannister,J.W., Churchin,D.C., Colclough,C.L., Gibbs,D.R., Graca,A.E., Helton,M.C., Hoerster,J.O., Irvin,A.N., Johnson,S., Kasprzak,M.L., Marchese,A.R., Minahan,N.T., Sauder,A.B., Straub,J.C., Torres,C.T., Scott,C.M., Temple,L.M.","National Center for Biotechnology Information, NIH",USA,9/23/16,,Claudivirus aurora,25905,complete,"USA: Fairfax, VA",VA,Bacillus thuringiensis serovar kurstaki,,8/23/12
NC_030907,Gordonia phage GMA5,RefSeq,GCF_001736635.1,"Dyson,Z.A., Tucci,J., Seviour,R.J., Petrovski,S.","National Center for Biotechnology Information, NIH",USA,9/19/16,,Grutrevirus GMA5,17562,complete,"Australia: Carrum, Victoria",,Gordonia malaquae,,8/2/10
NC_030912,Gordonia phage McGonagall,RefSeq,GCF_001736755.1,"Stanton,A., Montgomery,M.T., Guerrero,C.A., Mavrich,T.N., Pope,W.H., Garlena,R.A., Russell,D.A., Jacobs-Sera,D., Hendrix,R.W., Hatfull,G.F.","National Center for Biotechnology Information, NIH",USA,9/19/16,,Mcgonagallvirus macgonagall,17119,complete,"USA: Pittsburgh, PA",PA,Gordonia neofelifaecis,,7/1/15
NC_030935,Gordonia phage GRU3,RefSeq,GCF_001736855.1,"Dyson,Z.A., Tucci,J., Seviour,R.J., Petrovski,S.","National Center for Biotechnology Information, NIH",USA,9/19/16,,Grutrevirus GRU3,17727,complete,"Australia: Inverell, Queensland",,Gordonia rubripertincta,,8/2/10
NC_030940,Pseudomonas phage phi3,RefSeq,GCF_001736495.1,"van Belkum,A., Soriaga,L.B., LaFave,M.C., Akella,S., Veyrieras,J.B., Barbu,E.M., Shortridge,D., Blanc,B., Hannum,G., Zambardi,G., Miller,K., Enright,M.C., Mugnier,N., Brami,D., Schicklin,S., Felderman,M., Schwartz,A.S., Richardson,T.H., Peterson,T.C., Hubby,B., Cady,K.C., Soriaga,L., Veyrieras,J.-B., Schwartz,A.","National Center for Biotechnology Information, NIH",USA,9/19/16,,Phitrevirus phi3,32637,complete,France,,Pseudomonas aeruginosa,,1992
NC_030946,Streptococcus phage phiARI0923,RefSeq,GCF_001736395.1,"Croucher,N.J., Mostowy,R., Wymant,C., Turner,P., Bentley,S.D., Fraser,C.","National Center for Biotechnology Information, NIH",USA,9/19/16,,Streptococcus phage phiARI0923,33477,complete,,,Streptococcus pneumoniae,,
NC_029068,Lactobacillus phage LfeSau,RefSeq,GCF_001551425.1,"Liu,M., Bischoff,K.M., Gill,J.J., Mire-Criscione,M.D., Berry,J.D., Young,R., Summer,E.J., Berry,J., Young,R. III","National Center for Biotechnology Information, NIH",USA,2/5/16,,Lactobacillus phage LfeSau,31703,complete,,,Limosilactobacillus fermentum,,
NC_029100,Pseudoalteromonas phage Pq0,RefSeq,GCF_001550505.1,"Wang,D.B., Li,Y., Sun,M.Q., Huang,J.P., Shao,H.B., Xin,Q.L., Wang,M.","National Center for Biotechnology Information, NIH",USA,2/5/16,,Pseudoalteromonas phage Pq0,33399,complete,China,,Pseudoalteromonas sp. Bq0,,10/15/14
NC_029116,Clostridium phage phiCDHM13,RefSeq,GCF_001550945.1,"Hargreaves,K.R., Clokie,M.R.J., Hargreaves,K.","National Center for Biotechnology Information, NIH",USA,2/5/16,,Sherbrookevirus CDHM13,33596,complete,United Kingdom,,Clostridioides difficile,,
NC_029118,Lactococcus phage GE1,RefSeq,GCF_001550865.1,"Eraclio,G., Tremblay,D.M., Lacelle-Cote,A., Labrie,S.J., Fortina,M.G., Moineau,S., Tremblay,D.","National Center for Biotechnology Information, NIH",USA,2/5/16,,Chertseyvirus GE1,24847,complete,,,Lactococcus garvieae,,
NC_029047,Verrucomicrobia phage P8625,RefSeq,GCF_001534595.1,"Cho,J.-C.","National Center for Biotechnology Information, NIH",USA,1/23/16,,Verrucomicrobia phage P8625,32894,complete,South Korea,,Puniceicoccales,,
NC_028766,Mannheimia phage vB_MhM_3927AP2,RefSeq,GCF_001505275.1,"Niu,Y.D., Cook,S.R., Wang,J., Klima,C.L., Hsu,Y.H., Kropinski,A.M., Turner,D., McAllister,T.A., Hsu,Y.-H., Mcallister,T.A.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Mannheimia phage vB_MhM_3927AP2,33755,complete,Canada,,Mannheimia haemolytica,,11/13/08
NC_028789,Bacillus phage VMY22,RefSeq,GCF_001505535.1,"Qin,K., Cheng,B., Zhang,S., Wang,N., Fang,Y., Zhang,Q., Kuang,A., Lin,L., Ji,X., Wei,Y., Qin,K.-H., Wei,Y.-L.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Mingyongvirus VMY22,18609,complete,,,Bacillus cereus,,
NC_028795,Enterobacter phage E-3,RefSeq,GCF_001501615.1,"Klumpp,J., Almeida,A.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Teetrevirus E3,31522,complete,Portugal,,Enterobacter cloacae,,2014
NC_028838,Clostridium phage phiCD506,RefSeq,GCF_001504555.1,"Monot,M.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Sherbrookevirus CD506,33274,complete,,,Clostridioides difficile,,
NC_028896,Escherichia phage pro147,RefSeq,GCF_001501155.1,"Chen,M., Zhang,W.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Peduovirus pro147,32675,complete,,,Escherichia coli,,
NC_028900,Lactococcus phage SL4,RefSeq,GCF_001501375.1,"Rousseau,G.M., Moineau,S., Tremblay,D.M., Tegoni,M., Spinelli,S., Campanacci,V., Blangy,S., Huyghe,C., Desmyter,A., Labrie,S., Cambillau,C., Drolet,G., Ledeboer,A.M., de Haard,H.J.W.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Skunavirus Sl4,28144,complete,Canada,,Lactococcus lactis,,1996
NC_028943,Escherichia phage pro483,RefSeq,GCF_001500495.1,"Chen,M., Zhang,W.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Peduovirus pro483,29237,complete,,,Escherichia coli,,
NC_028951,Clostridium phage phiCD481-1,RefSeq,GCF_001505375.1,"Monot,M.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Sherbrookevirus CD4811,32846,complete,,,Clostridioides difficile,,
NC_028967,Propionibacterium phage PAC1,RefSeq,GCF_001505695.1,"Brown,T.L., Petrovski,S., Dyson,Z.A., Seviour,R., Tucci,J., Seviour,R.J.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Propionibacterium phage PAC1,29605,complete,,,Cutibacterium acnes,skin,
NC_028984,Streptococcus phage M102AD,RefSeq,GCF_001504655.1,"Delisle,A.L., Guo,M., Chalmers,N.I., Barcak,G.J., Rousseau,G.M., Moineau,S., Chalmers,N., Barcak,G.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Streptococcus phage M102AD,30664,complete,,,Streptococcus mutans,,
NC_029001,Clostridium phage phiCDHM11,RefSeq,GCF_001504815.1,"Hargreaves,K.R., Clokie,M.R., Hargreaves,K.","National Center for Biotechnology Information, NIH",USA,1/5/16,,Sherbrookevirus CDHM11,32000,complete,United Kingdom,,Clostridium,,
